#bytes,Mbytes/sec
0,0
1,3.72
2,7.46
4,14.82
8,29.83
16,59.56
32,100.53
64,195.02
128,315.21
256,578.59
512,1067.79
1024,1687.92
2048,2739.06
4096,4159.31
8192,4380.07
16384,5769.78
32768,7117.42
65536,8634.65
131072,9638.73
262144,10556.84
524288,12259.28
1048576,13526.38
2097152,12003.23
4194304,10692.5
